id,title,description,tile,start,end,time_diff_days,notification_type
b8487f4d-025b-462f-8c72-f2c7f1b72eb1,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports(RESOLVED),RESOLVED ,01796ba1-a152-4401-8342-4205f9c6bc7c,2023-08-01 06:33:53,2023-08-01 16:38:00,0.41952546296296295,minor
b8487f4d-025b-462f-8c72-f2c7f1b72eb1,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports(RESOLVED),RESOLVED ,72bd2290-59ce-4c19-b562-14ed28e3a210,2023-08-01 06:33:53,2023-08-01 16:38:00,0.41952546296296295,minor
b8487f4d-025b-462f-8c72-f2c7f1b72eb1,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports(RESOLVED),RESOLVED ,ee323936-56e9-4868-bfb1-5e87f18105e5,2023-08-01 06:33:53,2023-08-01 16:38:00,0.41952546296296295,minor
b8487f4d-025b-462f-8c72-f2c7f1b72eb1,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports(RESOLVED),RESOLVED ,dda834b4-d8c9-4d7f-b9cd-5c7985e79829,2023-08-01 06:33:53,2023-08-01 16:38:00,0.41952546296296295,minor
b8487f4d-025b-462f-8c72-f2c7f1b72eb1,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports(RESOLVED),RESOLVED ,e3eef460-7250-4f43-a624-858066d2c8c3,2023-08-01 06:33:53,2023-08-01 16:38:00,0.41952546296296295,minor
96639dd8-de46-4b6f-9a3d-9898657bc396,New Tile: Branch Locations,"New Dashboard Alert: Branch Locations has been added to your Analytics Hub. This tile provides an interactive map view, and a tabular view, of active branch location’s for ABC, L&W, and TCI.",44bbab49-0be3-498d-950d-d3ed1828a8dd,2023-08-15 08:39:54,2023-08-22 08:39:58,7.000046296296296,major
f248c697-3573-4eae-9911-fff336169777,New Tile Alert: Daily Units,New Dashboard Alert: Daily Units has been added to your Analytics Hub. This tile provides YOY sales metrics for major product groups.,f5c33ee7-0255-427b-9ef6-f5c0e13c38c8,2023-08-17 09:24:28,2023-08-24 09:24:33,7.00005787037037,major
1f1cc83d-5f9a-4a0e-83b2-13c0242b3d84,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports (RESOLVED),RESOLVED: All dashboards have been refreshed successfully,374921ac-0601-4f03-be6b-bb700c116f35,2023-08-18 11:46:00,2023-08-18 14:46:00,0.125,minor
1f1cc83d-5f9a-4a0e-83b2-13c0242b3d84,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports (RESOLVED),RESOLVED: All dashboards have been refreshed successfully,01796ba1-a152-4401-8342-4205f9c6bc7c,2023-08-18 11:46:00,2023-08-18 14:46:00,0.125,minor
1f1cc83d-5f9a-4a0e-83b2-13c0242b3d84,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports (RESOLVED),RESOLVED: All dashboards have been refreshed successfully,72bd2290-59ce-4c19-b562-14ed28e3a210,2023-08-18 11:46:00,2023-08-18 14:46:00,0.125,minor
