Start Timestamp,Subject Area Name,Source Path,Dashboard Name,Dashboard Page,Error Text,User Name,title,Error Category,Stakeholder Classification,Parsed Dashboard Name
2024-09-26 12:00:42.000,Enterprise Data - Receipts Dataset,/shared/Accounting Analytics/General Accounting Reports/Catalog Reports/Catalog - Receipts,Untitled Dashboard,No Page,[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 115] Database Error - Cause: Numeric value 'RESERVEPOONLY' is not recognized Action: Please refer to logs for more Details[nQSError: 77031] Error occ,DW077771,General Accounting Process Manager,Data Type & Value Errors,Data Issues,Catalog - Receipts
2024-09-26 12:00:44.000,Enterprise Data - Receipts Dataset,/shared/Accounting Analytics/General Accounting Reports/Catalog Reports/Catalog Branch Receipts -w\/ item,Untitled Dashboard,No Page,[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 115] Database Error - Cause: Numeric value 'RESERVEPOONLY' is not recognized Action: Please refer to logs for more Details[nQSError: 77031] Error occ,DW077771,General Accounting Process Manager,Data Type & Value Errors,Data Issues, item
2024-09-27 13:16:13.000,"Enterprise Data - Sales Dataset, Supplier Rebates - Income Payout",/users/bm073217/INCOME PROJECT/MONTHLY REPORTS/2024 INCOME PROJECT REPORTS/MV PRODUCT MIX,Untitled Dashboard,No Page,[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 65822722] No connection configuration is specified for DriverClass or JndiName parameters - Cause: No conneciton configuration is specified Action: C,CT074421,Accounting Analyst,Service & Connectivity Errors,Critical System Failures,MV PRODUCT MIX
2024-09-27 13:16:13.000,"Enterprise Data - Sales Dataset, Supplier Rebates - Income Payout",/users/bm073217/INCOME PROJECT/MONTHLY REPORTS/2024 INCOME PROJECT REPORTS/MV PRODUCT MIX,Untitled Dashboard,No Page,[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 65822722] No connection configuration is specified for DriverClass or JndiName parameters - Cause: No conneciton configuration is specified Action: C,CT074421,Accounting Analyst,Service & Connectivity Errors,Critical System Failures,MV PRODUCT MIX
2024-09-27 13:18:41.000,"Enterprise Data - Sales Dataset, Supplier Rebates - Income Payout",/users/bm073217/INCOME PROJECT/MONTHLY REPORTS/2024 INCOME PROJECT REPORTS/PCR,Untitled Dashboard,No Page,[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 65822722] No connection configuration is specified for DriverClass or JndiName parameters - Cause: No conneciton configuration is specified Action: C,CT074421,Accounting Analyst,Service & Connectivity Errors,Critical System Failures,PCR
2024-09-27 13:18:41.000,"Enterprise Data - Sales Dataset, Supplier Rebates - Income Payout",/users/bm073217/INCOME PROJECT/MONTHLY REPORTS/2024 INCOME PROJECT REPORTS/PCR,Untitled Dashboard,No Page,[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 65822722] No connection configuration is specified for DriverClass or JndiName parameters - Cause: No conneciton configuration is specified Action: C,CT074421,Accounting Analyst,Service & Connectivity Errors,Critical System Failures,PCR
2024-09-27 13:18:42.000,"Enterprise Data - Sales Dataset, Supplier Rebates - Income Payout",/users/bm073217/INCOME PROJECT/MONTHLY REPORTS/2024 INCOME PROJECT REPORTS/PCR,Untitled Dashboard,No Page,[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 65822722] No connection configuration is specified for DriverClass or JndiName parameters - Cause: No conneciton configuration is specified Action: C,CT074421,Accounting Analyst,Service & Connectivity Errors,Critical System Failures,PCR
2024-09-27 13:18:42.000,"Enterprise Data - Sales Dataset, Supplier Rebates - Income Payout",/users/bm073217/INCOME PROJECT/MONTHLY REPORTS/2024 INCOME PROJECT REPORTS/PCR,Untitled Dashboard,No Page,[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 65822722] No connection configuration is specified for DriverClass or JndiName parameters - Cause: No conneciton configuration is specified Action: C,CT074421,Accounting Analyst,Service & Connectivity Errors,Critical System Failures,PCR
2024-09-27 13:49:11.000,"Enterprise Data - Sales Dataset, Supplier Rebates - Income Payout",/users/bm073217/INCOME PROJECT/MONTHLY REPORTS/2024 INCOME PROJECT REPORTS/SALES BY BR BY MONTH,Untitled Dashboard,No Page,[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 65822722] No connection configuration is specified for DriverClass or JndiName parameters - Cause: No conneciton configuration is specified Action: C,CT074421,Accounting Analyst,Service & Connectivity Errors,Critical System Failures,SALES BY BR BY MONTH
2024-09-27 13:49:11.000,"Enterprise Data - Sales Dataset, Supplier Rebates - Income Payout",/users/bm073217/INCOME PROJECT/MONTHLY REPORTS/2024 INCOME PROJECT REPORTS/SALES BY BR BY MONTH,Untitled Dashboard,No Page,[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 65822722] No connection configuration is specified for DriverClass or JndiName parameters - Cause: No conneciton configuration is specified Action: C,CT074421,Accounting Analyst,Service & Connectivity Errors,Critical System Failures,SALES BY BR BY MONTH
